epoch,train_loss,val_loss,lr_main,lr_backbone
1,2.496035361289978,1.929699442888561,5e-05,1e-05
2,1.836611945288522,1.54982811839957,5e-05,1e-05
3,1.601948186329433,1.4487576798388833,5e-05,1e-05
4,1.468195184298924,1.2796102856334888,5e-05,1e-05
5,1.3666544089998518,1.269290400178809,5e-05,1e-05
6,1.2655372762680053,1.1589154428557347,5e-05,1e-05
7,1.1461443417412893,1.0368342164315676,5e-05,1e-05
8,1.013127817767007,0.9518901188122598,5e-05,1e-05
9,0.8652188301086425,0.798773213436729,5e-05,1e-05
10,0.7811827741350447,0.7392834550455997,5e-05,1e-05
11,0.7316091193471637,0.7560735940933228,5e-05,1e-05
12,0.6760179121153695,0.6560481880840502,5e-05,1e-05
13,0.66072121824537,0.6174802364487397,5e-05,1e-05
14,0.6372806181226458,0.6254639366739675,5e-05,1e-05
15,0.6195356377533504,0.676974185203251,5e-05,1e-05
16,0.6165001136916024,0.6887056333454031,5e-05,1e-05
17,0.5977157989570073,0.6331333933692229,2.5e-05,5e-06
18,0.5362462418419974,0.5743075460195541,2.5e-05,5e-06
19,0.5101507203919547,0.589253242862852,2.5e-05,5e-06
20,0.5051182576588222,0.5418473042939839,2.5e-05,5e-06
21,0.49437733718327115,0.5518704848854166,2.5e-05,5e-06
22,0.4753587850502559,0.5307306576716272,2.5e-05,5e-06
23,0.4707991233893803,0.5332475563413218,2.5e-05,5e-06
24,0.4557651340961456,0.5299969739035556,2.5e-05,5e-06
25,0.45164299930844987,0.5312876654298682,2.5e-05,5e-06
26,0.44567638754844663,0.5100666755124142,2.5e-05,5e-06
27,0.4347167921066284,0.521493638032361,2.5e-05,5e-06
28,0.43974235347339086,0.535150452664024,2.5e-05,5e-06
29,0.4319782762868064,0.5280289712705111,2.5e-05,5e-06
30,0.42584524171692983,0.5093205861355129,2.5e-05,5e-06
